t_s,phase,cmd_erpm,actual_erpm,gnss_vx,gnss_vy,gnss_vz,gnss_speed_xy,odom_x,odom_y,estop,ready,feedback
1.19777870300004,run,-1000.0,-1300.0,-0.067,-0.256,0.008,0.2646223724479848,0.9769796800826256,0.0,False,True,True
1.2411212730003172,run,-1000.0,-1259.0,-0.058,-0.277,-0.018,0.28300706704957035,0.9705140338176256,0.0,False,True,True
1.2848512290001963,run,-1000.0,-1300.0,-0.058,-0.277,-0.018,0.28300706704957035,0.9641811521833756,0.0,False,True,True
1.3364655280001898,run,-1000.0,-1269.0,-0.078,-0.275,-0.011,0.2858478616327224,0.9576731352746256,0.0,False,True,True
1.3766931410000325,run,-1000.0,-1290.0,-0.078,-0.275,-0.011,0.2858478616327224,0.9480797973667506,0.0,False,True,True
1.4169972919999054,run,-1000.0,-1240.0,-0.078,-0.275,-0.011,0.2858478616327224,0.9449646533042506,0.0,False,True,True
1.4576885570004379,run,-1000.0,-1250.0,-0.032,-0.291,-0.027,0.29275416307885355,0.9355621319137506,0.0,False,True,True
1.5014346940006362,run,-1000.0,-1240.0,-0.032,-0.291,-0.027,0.29275416307885355,0.9293366584750006,0.0,False,True,True
1.5583458990004146,run,-1000.0,-1203.0,-0.052,-0.279,-0.03,0.28380451018262554,0.9201041048321256,0.0,False,True,True
1.6025244880001992,run,-1000.0,-1212.0,-0.052,-0.279,-0.03,0.28380451018262554,0.9140996169468756,0.0,False,True,True
1.6567078510006468,run,-1000.0,-1194.0,-0.081,-0.225,-0.04,0.23913594460055562,0.9050083188701256,0.0,False,True,True
1.6973878580001838,run,-1000.0,-1185.0,-0.081,-0.225,-0.04,0.23913594460055562,0.8991708897810006,0.0,False,True,True
1.7399835590003931,run,-1000.0,-1159.0,0.007,-0.277,0.042,0.27708843353702084,0.8932693889013755,0.0,False,True,True
1.7819805970002562,run,-1000.0,-1159.0,0.007,-0.277,0.042,0.27708843353702084,0.8874914135972506,0.0,False,True,True
1.8364256510003543,run,-1000.0,-1134.0,-0.07,-0.296,0.018,0.30416442921551495,0.8817013647267506,0.0,False,True,True
1.8768459580005583,run,-1000.0,-1134.0,-0.07,-0.296,0.018,0.30416442921551495,0.8731732257427507,0.0,False,True,True
1.9216469339999094,run,-1000.0,-1126.0,-0.07,-0.296,0.018,0.30416442921551495,0.8675007267505007,0.0,False,True,True
1.9622321450005984,run,-1000.0,-1118.0,-0.046,-0.205,0.042,0.21009759636892564,0.8616562297123757,0.0,False,True,True
2.0029511800003093,run,-1000.0,-1111.0,-0.046,-0.205,0.042,0.21009759636892564,0.8563793336602507,0.0,False,True,True
2.0567453780004143,run,-1000.0,-1118.0,-0.015,-0.276,-0.018,0.2764073081522991,0.8479782302245006,0.0,False,True,True
2.0973309510000036,run,-1000.0,-1088.0,-0.015,-0.276,-0.018,0.2764073081522991,0.8425416220497506,0.0,False,True,True
2.1403772990006473,run,-1000.0,-1111.0,-0.041,-0.217,0.057,0.22083930809527547,0.8370745531537507,0.0,False,True,True
2.181695801999922,run,-1000.0,-1081.0,-0.041,-0.217,0.057,0.22083930809527547,0.8315547620997507,0.0,False,True,True
2.236497965000126,run,-1000.0,-1103.0,-0.041,-0.217,0.057,0.22083930809527547,0.8261077711501256,0.0,False,True,True
