wall_time,ros_ns,state,segment,imu_yaw_deg,inertial_yaw_deg,validated_yaw_deg,validated_ok,neo_yaw_deg,gnss_cog_yaw_deg,gyro_x_rps,gyro_y_rps,gyro_z_rps,gyro_norm_rps,acc_x,acc_y,acc_z,acc_norm,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,yah_mag_norm_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut,neo_mag_norm_ut
1788877365.4272528,1788877365425904074,WAIT_MOVE,0,-173.2763671875,170.26461159280615,170.39145689836892,0,170.43480606728173,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.778888940258769,9.801843168831526,917.0,5560.0,3692.0,6736.865220560672,48.9,15.6,51.6,72.78138498270008
1788877365.4480994,1788877365445841970,WAIT_MOVE,0,-173.2763671875,170.31947844480632,170.33289117212206,0,170.33677906223272,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04867127873838355,9.769312133618145,9.792005620341845,911.0,5549.0,3696.0,6729.170676985389,49.2,15.6,51.89999999999999,73.19569659481355
1788877365.467894,1788877365465813455,WAIT_MOVE,0,-173.2763671875,170.32317144680633,170.33677906223272,0,170.33677906223272,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.783677343579082,9.806948324155748,906.0,5547.0,3688.0,6722.454090583289,49.2,15.6,51.89999999999999,73.19569659481355
1788877365.4879956,1788877365485936883,WAIT_MOVE,0,-173.2763671875,170.32317144680633,170.33677906223272,0,170.33677906223272,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04867127873838355,9.788465746899394,9.811440403646253,911.0,5540.0,3689.0,6717.904584020229,49.2,15.6,51.89999999999999,73.19569659481355
1788877365.5074766,1788877365505818255,WAIT_MOVE,0,-173.2763671875,170.33677906223272,169.9974798423658,0,169.867984561622,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.778888940258769,9.802191556193963,906.0,5537.0,3682.0,6710.911189994992,49.2,14.999999999999998,51.0,72.43369381717324
1788877365.5275872,1788877365525807989,WAIT_MOVE,0,-173.2763671875,170.32121949123268,169.99627234010944,0,169.867984561622,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.788465746899394,9.811397570105735,903.0,5548.0,3682.0,6719.586073561377,49.2,14.999999999999998,51.0,72.43369381717324
1788877365.5470855,1788877365545834280,WAIT_MOVE,0,-173.2763671875,170.31699319323266,169.990354093215,0,169.867984561622,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04867127873838355,9.778888940258769,9.80221416267464,912.0,5556.0,3672.0,6721.939005971417,49.2,14.999999999999998,51.0,72.43369381717324
1788877365.5664313,1788877365565816720,WAIT_MOVE,0,-173.2763671875,170.2962791432326,170.14882018221897,0,170.10459096087524,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.783677343579082,9.806968581660064,913.0,5561.0,3654.0,6716.39829075078,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877365.5875628,1788877365585930137,WAIT_MOVE,0,-173.2763671875,170.2593932932325,170.14815490437974,0,170.10459096087524,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.769312133618145,9.792288811330716,919.0,5561.0,3658.0,6719.39327618201,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877365.606906,1788877365605822892,WAIT_MOVE,0,-173.2763671875,170.2570648182325,170.14220994455582,0,170.10459096087524,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03909447209775855,9.783677343579082,9.806620364004953,915.0,5553.0,3673.0,6720.4139009438995,49.2,15.299999999999999,51.29999999999999,72.70777124902125
