state,segment,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut
STATIC_4,4,-7281.0,7417.0,3854.0,-35.8398,-28.8818,-24.5728
STATIC_4,4,-7280.0,7406.0,3788.0,-35.8643,-28.7354,-24.5728
STATIC_4,4,-7289.0,7414.0,3822.0,-35.8398,-28.8086,-24.5728
STATIC_4,4,-7292.0,7423.0,3804.0,-35.9131,-28.7354,-24.5972
STATIC_4,4,-7294.0,7414.0,3847.0,-35.8398,-28.7842,-24.5728
STATIC_4,4,-7277.0,7416.0,3881.0,-35.8887,-28.8818,-24.646
STATIC_4,4,-7260.0,7404.0,3889.0,-35.8398,-28.8574,-24.6216
STATIC_4,4,-7279.0,7416.0,3860.0,-35.8398,-28.8086,-24.5972
STATIC_4,4,-7300.0,7404.0,3675.0,-35.9131,-28.7354,-24.5605
STATIC_4,4,-7295.0,7406.0,3673.0,-35.8643,-28.7842,-24.5483
STATIC_4,4,-7292.0,7403.0,3669.0,-35.9375,-28.6865,-24.5605
STATIC_4,4,-7275.0,7400.0,3634.0,-35.9131,-28.6865,-24.5605
STATIC_4,4,-7286.0,7400.0,3681.0,-35.8643,-28.7354,-24.5239
STATIC_4,4,-7277.0,7419.0,3696.0,-35.8887,-28.7109,-24.6338
STATIC_4,4,-7261.0,7422.0,3680.0,-35.8154,-28.7598,-24.5239
STATIC_4,4,-7274.0,7416.0,3673.0,-35.8887,-28.7354,-24.5972
STATIC_4,4,-7281.0,7411.0,3701.0,-35.8154,-28.8086,-24.5483
STATIC_4,4,-7270.0,7415.0,3728.0,-35.8154,-28.7354,-24.5605
STATIC_4,4,-7283.0,7406.0,3798.0,-35.8643,-28.833,-24.5972
STATIC_4,4,-7289.0,7409.0,3725.0,-35.8154,-28.8086,-24.4995
STATIC_4,4,-7265.0,7410.0,3792.0,-35.8643,-28.7842,-24.6094
STATIC_4,4,-7271.0,7411.0,3716.0,-35.8398,-28.7842,-24.5117
STATIC_4,4,-7261.0,7407.0,3682.0,-35.8398,-28.8818,-24.5972
STATIC_4,4,-7277.0,7430.0,3689.0,-35.8643,-28.6621,-24.5361
STATIC_4,4,-7265.0,7424.0,3718.0,-35.8398,-28.7109,-24.3896
STATIC_4,4,-7287.0,7420.0,3721.0,-35.9131,-28.6621,-24.4751
STATIC_4,4,-7272.0,7418.0,3762.0,-35.8154,-28.7354,-24.4629
STATIC_4,4,-7265.0,7404.0,3780.0,-35.8887,-28.6621,-24.4629
STATIC_4,4,-7264.0,7423.0,3761.0,-35.8154,-28.833,-24.4629
STATIC_4,4,-7283.0,7430.0,3723.0,-35.8398,-28.8086,-24.4263
STATIC_4,4,-7269.0,7407.0,3685.0,-35.8398,-28.7842,-24.585
STATIC_4,4,-7269.0,7423.0,3647.0,-35.8398,-28.8086,-24.3896
STATIC_4,4,-7264.0,7416.0,3588.0,-35.8643,-28.833,-24.707
STATIC_4,4,-7259.0,7418.0,3632.0,-35.8154,-28.7842,-24.6338
STATIC_4,4,-7271.0,7416.0,3631.0,-35.8398,-28.8818,-24.6582
STATIC_4,4,-7266.0,7427.0,3663.0,-35.8154,-28.833,-24.6216
STATIC_4,4,-7262.0,7416.0,3647.0,-35.8398,-28.9062,-24.6216
STATIC_4,4,-7268.0,7416.0,3649.0,-35.8398,-28.8086,-24.5972
STATIC_4,4,-7265.0,7412.0,3640.0,-35.791,-28.7598,-24.585
STATIC_4,4,-7256.0,7438.0,3578.0,-35.8643,-28.7842,-24.6094
STATIC_4,4,-7278.0,7422.0,3607.0,-35.791,-28.8574,-24.4751
STATIC_4,4,-7273.0,7428.0,3622.0,-35.8398,-28.7109,-24.3652
STATIC_4,4,-7280.0,7422.0,3626.0,-35.8154,-28.7598,-24.585
STATIC_4,4,-7273.0,7429.0,3611.0,-35.8154,-28.7109,-24.4141
STATIC_4,4,-7263.0,7418.0,3738.0,-35.8398,-28.7842,-24.5972
STATIC_4,4,-7271.0,7419.0,3695.0,-35.8154,-28.6621,-24.4385
STATIC_4,4,-7266.0,7419.0,3578.0,-35.8398,-28.833,-24.6216
STATIC_4,4,-7276.0,7441.0,3607.0,-35.8398,-28.7842,-24.5239
STATIC_4,4,-7255.0,7425.0,3573.0,-35.791,-28.8818,-24.6582
STATIC_4,4,-7289.0,7419.0,3598.0,-35.8643,-28.8086,-24.6338
STATIC_4,4,-7284.0,7419.0,3655.0,-35.8398,-28.833,-24.5972
STATIC_4,4,-7279.0,7410.0,3684.0,-35.8887,-28.8086,-24.5972
STATIC_4,4,-7282.0,7412.0,3598.0,-35.7666,-28.8818,-24.6094
STATIC_4,4,-7278.0,7431.0,3610.0,-35.7422,-28.9551,-24.5728
STATIC_4,4,-7244.0,7448.0,3603.0,-35.7178,-29.0283,-24.646
STATIC_4,4,-7255.0,7433.0,3638.0,-35.7178,-28.9795,-24.5483
STATIC_4,4,-7249.0,7440.0,3610.0,-35.7178,-29.0527,-24.646
STATIC_4,4,-7245.0,7466.0,3594.0,-35.6689,-28.833,-24.4019
STATIC_4,4,-7225.0,7452.0,3572.0,-35.6934,-29.126,-24.6216
STATIC_4,4,-7247.0,7420.0,3578.0,-35.8398,-28.7842,-24.4629
STATIC_5,5,-10202.0,3200.0,4064.0,-46.2158,-4.18091,-23.6816
STATIC_5,5,-10201.0,3193.0,4041.0,-46.1914,-4.09241,-23.5718
STATIC_5,5,-10201.0,3184.0,4006.0,-46.167,-4.0802,-23.584
STATIC_5,5,-10177.0,3191.0,4040.0,-46.2158,-4.1687,-23.6206
STATIC_5,5,-10190.0,3213.0,4041.0,-46.167,-4.11682,-23.5352
STATIC_5,5,-10186.0,3190.0,4006.0,-46.2158,-4.11987,-23.6938
STATIC_5,5,-10176.0,3200.0,4011.0,-46.2158,-4.11682,-23.5474
STATIC_5,5,-10191.0,3185.0,4003.0,-46.167,-4.22363,-23.584
STATIC_5,5,-10187.0,3178.0,4011.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10187.0,3190.0,4045.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10169.0,3201.0,3970.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10189.0,3201.0,3994.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10185.0,3182.0,4012.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10182.0,3192.0,4026.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10184.0,3191.0,3972.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10183.0,3188.0,3999.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10186.0,3203.0,3936.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10188.0,3195.0,3936.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10194.0,3193.0,3996.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10196.0,3178.0,3956.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10178.0,3183.0,4004.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10188.0,3183.0,3978.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10180.0,3189.0,4007.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10179.0,3188.0,3963.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10196.0,3196.0,4026.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10193.0,3191.0,3984.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10199.0,3194.0,3974.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10202.0,3194.0,4042.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10196.0,3159.0,4049.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10187.0,3184.0,4004.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10186.0,3182.0,4026.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10201.0,3179.0,4044.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10195.0,3183.0,3954.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10186.0,3174.0,4009.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10191.0,3186.0,4012.0,-46.2158,-4.1687,-23.5962
STATIC_5,5,-10179.0,3176.0,4020.0,-46.167,-4.15039,-23.6816
STATIC_5,5,-10171.0,3189.0,4004.0,-46.1914,-4.12903,-23.4619
STATIC_5,5,-10188.0,3198.0,3997.0,-46.1914,-4.16565,-23.645
STATIC_5,5,-10189.0,3198.0,4027.0,-46.167,-4.05273,-23.4497
STATIC_5,5,-10194.0,3183.0,4030.0,-46.1914,-4.16565,-23.6328
