wall_time,ros_ns,state,segment,imu_yaw_deg,inertial_yaw_deg,validated_yaw_deg,validated_ok,neo_yaw_deg,gyro_x_rps,gyro_y_rps,gyro_z_rps,gyro_norm_rps,acc_x,acc_y,acc_z,acc_norm,yah_mag_x_ut,yah_mag_y_ut,yah_mag_z_ut,yah_mag_norm_ut,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut,neo_mag_norm_ut
1788873835.3113587,1788873835310237158,STATIC_5,5,50.400409456743915,-23.66011505502503,nan,0,-48.5564386171104,-0.0010652644360316951,-0.0010652644360316951,-0.0,0.0015065114129497496,-0.3793829386872693,0.16838136174619603,9.793254150219706,9.802046242899795,-577.8,666.1999999999999,399.1,967.9649218850856,-30.9,-12.9,48.6,59.01847168471919
1788873835.3310373,1788873835330015883,STATIC_5,5,50.43336844111891,-23.66011505502503,nan,0,-48.02339620294723,-0.0010652644360316951,-0.0,-0.0,0.0010652644360316951,-0.3698061320466443,0.15880455510557104,9.807619360180645,9.815873520793337,-577.1,666.1,398.8,967.3546712555845,-30.9,-12.6,47.7,58.213915862102944
1788873835.3514235,1788873835349983410,STATIC_5,5,50.4608342614314,-23.66011505502503,nan,0,-48.02339620294723,-0.0010652644360316951,-0.0,-0.0,0.0010652644360316951,-0.3698061320466443,0.15401615178525854,9.788465746899394,9.796659595419898,-576.2,665.9999999999999,393.49999999999994,964.5748752688927,-30.9,-12.6,47.7,58.213915862102944
1788873835.3723881,1788873835369983290,STATIC_5,5,50.49379324580641,-23.66011505502503,nan,0,-48.02339620294723,-0.0,-0.0,-0.0,0.0,-0.3745945353669568,0.14922774846494605,9.802830956860332,9.811120463821547,-576.0,666.5,390.6,963.6216114222428,-30.9,-12.6,47.7,58.213915862102944
1788873835.3923683,1788873835389986872,STATIC_5,5,50.5212590661189,-23.66011505502503,nan,0,-48.10177995093506,-0.0010652644360316951,-0.0,-0.0,0.0010652644360316951,-0.3698061320466443,0.14922774846494605,9.79804255354002,9.806154362296784,-575.5,666.8,393.59999999999997,964.7504599636115,-30.9,-12.6,49.2,59.4492220302335
1788873835.4130845,1788873835410102545,STATIC_5,5,50.548724886431415,-23.66011505502503,nan,0,-48.10177995093506,-0.0,-0.0,-0.0,0.0,-0.3745945353669568,0.14443934514463355,9.788465746899394,9.796695640295013,-574.6999999999999,667.1999999999999,392.99999999999994,964.3054132379428,-30.9,-12.6,49.2,59.4492220302335
1788873835.4310246,1788873835429982772,STATIC_5,5,50.5816838708064,-23.66011505502503,nan,0,-48.10177995093506,-0.0010652644360316951,-0.0,-0.0,0.0010652644360316951,-0.3793829386872693,0.14443934514463355,9.807619360180645,9.816017097213258,-575.5,667.3,390.79999999999995,963.9575613065131,-30.9,-12.6,49.2,59.4492220302335
1788873835.4522758,1788873835449992811,STATIC_5,5,50.609149691118894,-23.66011505502503,nan,0,-48.039057032848234,-0.0010652644360316951,-0.0,-0.0,0.0010652644360316951,-0.3745945353669568,0.14443934514463355,9.793254150219706,9.801480022993879,-575.0999999999999,667.0,394.8,965.1404301965595,-30.9,-12.6,48.0,58.45998631542775
1788873835.472973,1788873835469983612,STATIC_5,5,50.636615511431415,-23.66011505502503,nan,0,-48.039057032848234,-0.0,-0.0,-0.0,0.0,-0.3698061320466443,0.15401615178525854,9.788465746899394,9.796659595419898,-574.1,665.9,395.7,964.1535717923779,-30.9,-12.6,48.0,58.45998631542775
1788873835.4920652,1788873835490007915,STATIC_5,5,50.6640813317439,-23.66011505502503,nan,0,-48.039057032848234,-0.0,-0.0010652644360316951,-0.0,0.0010652644360316951,-0.3650177287263318,0.15880455510557104,9.802830956860332,9.810909825178603,-575.2,665.6999999999999,399.0,966.0292593912465,-30.9,-12.6,48.0,58.45998631542775
1788873835.511226,1788873835510071433,STATIC_5,5,50.69154715205641,-23.66011505502503,nan,0,-48.804939348392395,-0.0,-0.0,-0.0,0.0,-0.3793829386872693,0.15880455510557104,9.807619360180645,9.816238985226443,-575.5,665.8,398.9,966.235530292692,-30.599999999999998,-12.9,48.9,59.10989764836343
1788873835.531276,1788873835529986844,STATIC_5,5,50.724506136431415,-23.66011505502503,nan,0,-48.804939348392395,-0.0,-0.0,-0.0,0.0,-0.3745945353669568,0.16359295842588353,9.788465746899394,9.796996754117867,-576.5999999999999,666.1,394.6,965.3320309613682,-30.599999999999998,-12.9,48.9,59.10989764836343
1788873835.5531864,1788873835550163196,STATIC_5,5,50.75197195674391,-23.66011505502503,nan,0,-48.804939348392395,-0.0,-0.0,-0.0,0.0,-0.3698061320466443,0.16838136174619603,9.783677343579082,9.792111683469784,-576.5,666.4,393.59999999999997,965.0710699217959,-30.599999999999998,-12.9,48.9,59.10989764836343
1788873835.5712059,1788873835570031762,STATIC_5,5,50.779437777056415,-23.66011505502503,nan,0,-48.25198595017753,-0.0010652644360316951,-0.0010652644360316951,-0.0,0.0015065114129497496,-0.3650177287263318,0.16359295842588353,9.807619360180645,9.815772924865431,-576.8,666.4,397.3,966.7649610944741,-30.599999999999998,-12.6,47.7,58.0552323223325
1788873835.5916994,1788873835589985016,STATIC_5,5,50.806903597368915,-23.66011505502503,nan,0,-48.25198595017753,-0.0,-0.0,-0.0,0.0,-0.3793829386872693,0.15401615178525854,9.793254150219706,9.801809998157138,-576.6999999999999,666.4,399.1,967.4464636350685,-30.599999999999998,-12.6,47.7,58.0552323223325
1788873835.6122756,1788873835610214052,STATIC_5,5,50.83436941768141,-23.66011505502503,nan,0,-48.25198595017753,-0.0,-0.0010652644360316951,-0.0,0.0010652644360316951,-0.3650177287263318,0.15880455510557104,9.788465746899394,9.796556461697627,-576.2,665.3,398.8,966.2670283104976,-30.599999999999998,-12.6,47.7,58.0552323223325
