wall_time,ros_ns,state,segment,imu_yaw_deg,inertial_yaw_deg,validated_yaw_deg,validated_ok,neo_yaw_deg,map_yaw_from_enu_deg,gnss_cog_yaw_deg,gyro_x_rps,gyro_y_rps,gyro_z_rps,gyro_norm_rps,acc_x,acc_y,acc_z,acc_norm,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,yah_mag_norm_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut,neo_mag_norm_ut
1788877606.7552695,1788877606754052198,WAIT_MOVE,0,-173.2763671875,170.10843024039696,170.1740020632966,0,170.1957128197288,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.769312133618145,9.79263753860336,901.0,5547.0,3693.0,6724.526674792806,48.9,15.299999999999999,50.699999999999996,72.08182850066999
1788877606.774683,1788877606773931200,WAIT_MOVE,0,-173.2763671875,170.119725165397,170.17989020181676,0,170.1957128197288,nan,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04388287541807105,9.778888940258769,9.801537645902492,904.0,5542.0,3677.0,6712.0271900521975,48.9,15.299999999999999,50.699999999999996,72.08182850066999
1788877606.795604,1788877606794050752,WAIT_MOVE,0,-173.2763671875,170.14033365439707,170.28710952910907,0,170.3340824937685,nan,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04388287541807105,9.783677343579082,9.806640622186734,907.0,5559.0,3678.0,6727.021183257862,49.2,15.6,51.29999999999999,72.77149167084593
1788877606.8154335,1788877606814041142,WAIT_MOVE,0,-173.2763671875,170.16967704839718,170.29043482749378,0,170.3340824937685,nan,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04867127873838355,9.774100536938457,9.797108880800502,912.0,5564.0,3690.0,6738.392983493914,49.2,15.6,51.29999999999999,72.77149167084593
1788877606.8348756,1788877606833928824,WAIT_MOVE,0,-173.2763671875,170.18131560639722,170.2957753686504,0,170.3340824937685,nan,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04867127873838355,9.778888940258769,9.801560253891358,921.0,5560.0,3682.0,6731.93619993535,49.2,15.6,51.29999999999999,72.77149167084593
1788877606.8548262,1788877606853953901,WAIT_MOVE,0,-173.2763671875,170.20000751839726,170.20077755671122,0,170.1970040764511,nan,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04867127873838355,9.778888940258769,9.801886044124094,918.0,5548.0,3691.0,6726.5525345454635,48.9,15.299999999999999,51.0,72.29315320277571
1788877606.8748672,1788877606873929616,WAIT_MOVE,0,-173.2763671875,170.2102112573973,170.19778720786422,0,170.1970040764511,nan,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04867127873838355,9.778888940258769,9.801886044124094,923.0,5542.0,3689.0,6721.191412242327,48.9,15.299999999999999,51.0,72.29315320277571
1788877606.89682,1788877606893909581,WAIT_MOVE,0,-173.2763671875,170.19974503639725,170.1970040764511,0,170.1970040764511,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04867127873838355,9.783677343579082,9.806991177129031,925.0,5536.0,3676.0,6709.388720293377,48.9,15.299999999999999,51.0,72.29315320277571
1788877606.9148223,1788877606914033578,WAIT_MOVE,0,-173.2763671875,170.1970040764511,170.12569419799257,0,170.10016452104423,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.788465746899394,9.811745618218383,916.0,5529.0,3679.0,6704.024015470111,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877606.934902,1788877606934005865,WAIT_MOVE,0,-173.2763671875,170.1895184014511,170.12226216853472,0,170.10016452104423,nan,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04867127873838355,9.778888940258769,9.801886044124094,911.0,5529.0,3694.0,6711.586846640666,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877606.955702,1788877606953926771,WAIT_MOVE,0,-173.2763671875,170.17750629445106,170.11619466580478,0,170.10016452104423,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04388287541807105,9.788465746899394,9.811745618218383,916.0,5536.0,3693.0,6717.484722721742,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877606.9763997,1788877606973926125,WAIT_MOVE,0,-173.2763671875,170.156270030451,170.28017810978352,0,170.3340824937685,nan,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04867127873838355,9.778888940258769,9.801886044124094,913.0,5528.0,3703.0,6715.993001783132,49.2,15.6,51.29999999999999,72.77149167084593
1788877606.9957557,1788877606994173521,WAIT_MOVE,0,-173.2763671875,170.14541704545096,170.28357263135442,0,170.3340824937685,nan,nan,-0.0,-0.0,0.0,0.0,0.6788541951017932,0.04388287541807105,9.769312133618145,9.792968308384388,919.0,5531.0,3705.0,6720.3829503979905,49.2,15.6,51.29999999999999,72.77149167084593
1788877607.017536,1788877607013941773,WAIT_MOVE,0,-173.2763671875,170.17826680445106,170.29487250286905,0,170.3340824937685,nan,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04388287541807105,9.793254150219706,9.815869710266329,919.0,5534.0,3691.0,6715.146908296199,49.2,15.6,51.29999999999999,72.77149167084593
1788877607.0351005,1788877607033961758,WAIT_MOVE,0,-173.2763671875,170.17826680445106,170.1241271936837,0,170.10016452104423,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.769312133618145,9.792617251453123,912.0,5531.0,3671.0,6700.742197697207,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877607.0548139,1788877607053926781,WAIT_MOVE,0,-173.2763671875,170.1840338844511,170.12205843516242,0,170.10016452104423,nan,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04867127873838355,9.783677343579082,9.806663218411352,907.0,5533.0,3679.0,6706.100133460579,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877607.0755138,1788877607073926947,WAIT_MOVE,0,-173.2763671875,170.154727778451,170.11575402243912,0,170.10016452104423,nan,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.03430606877744605,9.793254150219706,9.816156884435776,917.0,5538.0,3695.0,6720.3688886846085,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877607.0959988,1788877607094211389,WAIT_MOVE,0,-173.2763671875,170.154727778451,170.35180510648036,0,170.43480606728173,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.04867127873838355,9.778888940258769,9.80221416267464,919.0,5534.0,3693.0,6716.2464219234835,48.9,15.6,51.6,72.78138498270008
1788877607.116881,1788877607115259529,WAIT_MOVE,0,-173.2763671875,170.14430232345097,170.35585388188505,0,170.43480606728173,nan,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.04867127873838355,9.788465746899394,9.811114930677872,919.0,5528.0,3691.0,6710.203126582682,48.9,15.6,51.6,72.78138498270008
1788877607.1361005,1788877607133969726,WAIT_MOVE,0,-173.2763671875,170.15847309045103,170.36156446898872,0,170.43480606728173,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.778888940258769,9.802171288817283,911.0,5532.0,3675.0,6703.623646953937,48.9,15.6,51.6,72.78138498270008
1788877607.1547954,1788877607153917589,WAIT_MOVE,0,-173.2763671875,170.17846021145107,170.12540392438513,0,170.10016452104423,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.783677343579082,9.806948324155748,904.0,5534.0,3655.0,6693.384569857017,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877607.174908,1788877607173920198,WAIT_MOVE,0,-173.2763671875,170.1885024434511,170.12207927972813,0,170.10016452104423,nan,nan,-0.0,-0.0,0.0,0.0,0.669277388461168,0.04867127873838355,9.793254150219706,9.816217599812818,907.0,5541.0,3651.0,6697.397330306751,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877607.1952856,1788877607194239918,WAIT_MOVE,0,-173.2763671875,170.17686618345107,170.11635037692457,0,170.10016452104423,nan,nan,-0.0,-0.0,0.0,0.0,0.6644889851408555,0.03909447209775855,9.774100536938457,9.796740034077803,912.0,5538.0,3664.0,6702.692294891658,49.2,15.299999999999999,51.29999999999999,72.70777124902125
1788877607.2167544,1788877607214708121,WAIT_MOVE,0,-173.2763671875,170.14228820945095,170.18445581992103,0,170.1957128197288,nan,nan,-0.0,-0.0,0.0,0.0,0.6740657917814807,0.03909447209775855,9.774100536938457,9.79739426457766,916.0,5540.0,3685.0,6716.388985161595,48.9,15.299999999999999,50.699999999999996,72.08182850066999
1788877607.2352343,1788877607233885693,WAIT_MOVE,0,-173.2763671875,170.14228820945095,170.18445581992103,0,170.1957128197288,nan,nan,-0.0,-0.0,0.0,0.0,0.6788541951017932,0.04388287541807105,9.793254150219706,9.816852630846496,922.0,5543.0,3672.0,6712.564115150037,48.9,15.299999999999999,50.699999999999996,72.08182850066999
1788877607.25608,1788877607253919668,WAIT_MOVE,0,-173.2763671875,170.15631331945102,170.18998402711384,0,170.1957128197288,nan,nan,-0.0,-0.0,0.0,0.0,0.6836425984221057,0.03909447209775855,9.774100536938457,9.7980578119496,919.0,5542.0,3661.0,6705.31475771272,48.9,15.299999999999999,50.699999999999996,72.08182850066999
1788877607.2757337,1788877607273931337,WAIT_MOVE,0,-173.2763671875,170.17566204545108,170.36757549315493,0,170.43340080690268,nan,nan,-0.0,-0.0,0.0,0.0,0.6788541951017932,0.03909447209775855,9.793254150219706,9.816832393738391,920.0,5536.0,3672.0,6706.510269879559,48.9,15.6,51.29999999999999,72.56900164670863
