wall_time,state,segment,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut
1789591962.086411,STATIC_4,4,-5010.0,4063.0,3788.0,-30.0781,-21.3867,-35.791
1789591962.1864245,STATIC_4,4,-5012.0,4075.0,3757.0,-30.1514,-21.1792,-35.6689
1789591962.3017027,STATIC_4,4,-5025.0,4076.0,3743.0,-30.0293,-21.3135,-35.9619
1789591962.4022782,STATIC_4,4,-5022.0,4089.0,3755.0,-30.1025,-21.3135,-36.0107
1789591962.5023155,STATIC_4,4,-5024.0,4087.0,3735.0,-30.0781,-21.3257,-36.0107
1789591962.6112,STATIC_4,4,-5028.0,4095.0,3694.0,-30.1025,-21.2524,-35.7178
1789591962.7208273,STATIC_4,4,-5023.0,4091.0,3768.0,-30.0781,-21.2891,-36.1084
1789591962.8213716,STATIC_4,4,-5036.0,4095.0,3823.0,-30.0537,-21.3135,-35.9619
1789591962.9328873,STATIC_4,4,-5015.0,4081.0,3826.0,-30.127,-21.3257,-35.9863
1789591963.0363383,STATIC_4,4,-5016.0,4072.0,3784.0,-30.1025,-21.3867,-35.8887
1789591963.1399202,STATIC_4,4,-5035.0,4067.0,3774.0,-30.0781,-21.2158,-35.8154
1789591963.2402732,STATIC_4,4,-5022.0,4087.0,3688.0,-30.127,-21.3257,-36.0352
1789591963.340315,STATIC_4,4,-5029.0,4074.0,3730.0,-30.0537,-21.167,-35.8887
1789591963.4403465,STATIC_4,4,-5027.0,4061.0,3728.0,-30.1025,-21.3745,-35.9863
1789591963.550139,STATIC_4,4,-5029.0,4084.0,3752.0,-30.127,-21.1426,-35.8887
1789591963.6588311,STATIC_4,4,-5013.0,4066.0,3752.0,-30.0537,-21.3501,-35.9619
1789591963.7593045,STATIC_4,4,-5022.0,4061.0,3762.0,-30.1514,-21.167,-35.7178
1789591963.8593478,STATIC_4,4,-5017.0,4055.0,3781.0,-30.0781,-21.3745,-35.8643
1789591963.978204,STATIC_4,4,-5011.0,4074.0,3770.0,-30.127,-21.3989,-35.9619
1789591964.0793402,STATIC_4,4,-5031.0,4069.0,3810.0,-30.0781,-21.3989,-36.0596
1789591964.186432,STATIC_4,4,-5008.0,4062.0,3748.0,-30.0537,-21.3501,-35.9863
1789591964.297474,STATIC_4,4,-5012.0,4064.0,3741.0,-30.1514,-21.3379,-36.0352
1789591964.3983142,STATIC_4,4,-5016.0,4065.0,3754.0,-30.0781,-21.3623,-35.8887
1789591964.498322,STATIC_4,4,-5027.0,4089.0,3724.0,-30.1025,-21.3501,-36.084
1789591964.611199,STATIC_4,4,-5014.0,4070.0,3733.0,-30.1025,-21.3135,-36.0352
1789591964.7134452,STATIC_4,4,-5017.0,4050.0,3684.0,-30.0781,-21.3257,-35.9863
1789591964.816475,STATIC_4,4,-5022.0,4060.0,3748.0,-30.127,-21.1792,-35.8643
1789591964.9173272,STATIC_4,4,-5004.0,4076.0,3711.0,-30.0537,-21.1426,-35.791
1789591965.0334933,STATIC_4,4,-5024.0,4076.0,3714.0,-30.1025,-21.1914,-35.6201
1789591965.1336257,STATIC_4,4,-5011.0,4071.0,3754.0,-30.1514,-21.1426,-35.6689
1789591965.2337887,STATIC_4,4,-5005.0,4081.0,3685.0,-30.127,-21.1304,-35.7666
1789591965.3338335,STATIC_4,4,-5022.0,4067.0,3630.0,-30.1758,-21.1304,-35.791
1789591965.4348037,STATIC_4,4,-5022.0,4067.0,3644.0,-30.127,-21.1548,-35.8887
1789591965.5350153,STATIC_4,4,-5025.0,4078.0,3726.0,-30.0781,-21.3257,-35.9131
1789591965.6352391,STATIC_4,4,-5025.0,4083.0,3607.0,-30.1025,-21.3745,-36.2061
1789591965.735299,STATIC_4,4,-5003.0,4061.0,3701.0,-30.0293,-21.3013,-35.9619
1789591965.8353066,STATIC_4,4,-5013.0,4083.0,3647.0,-30.127,-21.2646,-35.7178
1789591965.9540684,STATIC_4,4,-5019.0,4078.0,3632.0,-30.1025,-21.2524,-35.8398
1789591966.081776,STATIC_4,4,-5006.0,4074.0,3546.0,-30.0781,-21.3013,-35.9375
1789591966.1863573,STATIC_4,4,-5010.0,4058.0,3665.0,-30.0781,-21.3135,-35.9375
