t_s,map_x,map_y,map_yaw,map_vx,local_x,local_y,local_yaw,local_vx,esc_x,esc_y,esc_yaw,esc_vx,gnss_vx,gnss_vy,gnss_vz,gnss_speed_xy,cmd_v,cmd_w,drive_target_mps,drive_actual_mps,actual_erpm,steer_rad,mux_source,estop,ready,feedback,autonomy_gate,heading_valid,yaw_inertial,yaw_neo3,distance_remaining
17.235677542999838,132.33319312693868,106.02395174347886,-1.4770301122174365,0.11226267543189064,5.802796355970343,-3.3105234917931714,-1.2681208640608579,0.46669413827332623,5.082554439708275,-3.933591285916158,-1.5279787100801123,0.4708884693852673,0.322,0.089,0.003,0.33407334524023313,0.4706929922103882,-0.07260510325431824,0.470142662525177,0.4708884693852673,2025.0,0.1341704409178121,NAV2,False,True,True,True,,,0.09644349701457682,9.705451965332031
17.279482661999282,132.33319312693868,106.02395174347886,-1.4770301122174365,0.11226267543189064,5.807411385210674,-3.3253553573643613,-1.270877139322668,0.46672245891912817,5.08364754668275,-3.9612505331130947,-1.5329379558522098,0.4649938616799149,0.273,0.058,-0.029,0.27909317440596787,0.4706929922103882,-0.07260510325431824,0.4706929922103882,0.4649938616799149,2051.0,0.12943827153923815,NAV2,False,True,True,True,,,0.09203618686558515,9.705451965332031
17.31958454300002,132.38243917874715,106.01852688432672,-1.4787671418823902,0.11694211278202894,5.816552633055999,-3.355146089742976,-1.2762143197313551,0.4670244646808563,5.084328662688938,-3.9805379164043493,-1.5363484118274113,0.4772365084525699,0.273,0.058,-0.029,0.27909317440596787,0.4706929922103882,-0.07260510325431824,0.4706929922103882,0.48358454751987245,2105.0,0.12860316639874386,NAV2,False,True,True,True,,,0.08799701465715493,9.705451965332031
17.35962772199946,132.38243917874715,106.01852688432672,-1.4787671418823902,0.11694211278202894,5.821125290996482,-3.3702651583672902,-1.278828725137828,0.4676434422149681,5.084946426792078,-3.9999121245672753,-1.5397773618687363,0.4772365084525699,0.273,0.058,-0.029,0.27909317440596787,0.4706929922103882,-0.07260510325431824,0.4706929922103882,0.4772365084525699,2105.0,0.12860316639874386,NAV2,False,True,True,True,,,0.08504601427550762,9.705451965332031
17.400068478999856,132.38243917874715,106.01852688432672,-1.4787671418823902,0.11694211278202894,5.825892600019088,-3.386170105476498,-1.2814681802464578,0.4723038539324786,5.0854948908656485,-4.019178275634084,-1.543190390060385,0.4772365084525699,0.628,-0.098,0.036,0.635600503461097,0.4710673987865448,-0.07074570655822754,0.4710673987865448,0.48358454751987245,2105.0,0.12860316639874386,NAV2,False,True,True,True,,,0.07756255231913772,9.705451965332031
17.440577757999563,132.43170195254527,106.01167868321876,-1.4808704376104118,0.12200273241573734,5.83047127580775,-3.401588038154023,-1.2839093611739802,0.473610868849008,5.085751781304245,-4.029113183299613,-1.5449447318287155,0.4901593022681502,0.628,-0.098,0.036,0.635600503461097,0.4710673987865448,-0.07074570655822754,0.4710673987865448,0.4901593022681502,2105.0,0.1283247980185791,NAV2,False,True,True,True,,,0.07343636327655564,9.705451965332031
17.483238717999484,132.43170195254527,106.01167868321876,-1.4808704376104118,0.12200273241573734,5.839648976300153,-3.4328749237691714,-1.2879636439930187,0.47750685056561876,5.0863948560044365,-4.057715864272584,-1.5500019457378316,0.48358454751987245,0.261,0.178,0.066,0.3159192934912333,0.47115784883499146,-0.06917141377925873,0.47115784883499146,0.48358454751987245,2133.0,0.12860316639874386,NAV2,False,True,True,True,,,0.06898276611174017,9.705451965332031
17.525635074999627,132.48523887993326,106.00363170907235,-1.480224815711341,0.12834995872133906,5.844093725652088,-3.448218425051433,-1.2904392605705728,0.4778563884857243,5.0867633645616595,-4.0780950175662865,-1.5536187969940272,0.5037622431266557,0.261,0.178,0.066,0.3159192934912333,0.47115784883499146,-0.06917141377925873,0.47115784883499146,0.5037622431266557,2222.0,0.12888153477890862,NAV2,False,True,True,True,,,0.06661616926033555,9.705451965332031
17.572586573999615,132.48523887993326,106.00363170907235,-1.480224815711341,0.12834995872133906,5.848512718356682,-3.4636230538766677,-1.2931429964453656,0.47859222861535156,5.087047496472,-4.097559378201553,-1.5570587567251186,0.49673405701642787,0.261,0.178,0.066,0.3159192934912333,0.47115784883499146,-0.06917141377925873,0.47115784883499146,0.49673405701642787,2222.0,0.1283247980185791,NAV2,False,True,True,True,,,0.06379243570160276,9.705451965332031
17.6162374609994,132.48523887993326,106.00363170907235,-1.480224815711341,0.12834995872133906,5.852904840384588,-3.479072887434349,-1.295422243665251,0.4793224350208178,5.087271409065821,-4.1178062170309175,-1.5606293091173973,0.49673405701642787,0.396,0.027,-0.055,0.39691938728159903,0.47115784883499146,-0.06917141377925873,0.47115784883499146,0.49673405701642787,2222.0,0.1280465227226411,NAV2,False,True,True,True,,,0.05523659036221219,9.705451965332031
